name,adresse1,postal_code,commune,city,latitude,longitude,phone,email,website,access,epoque,descriptif
Centre culturel de Cailloux-sur-Fontaines,74 avenue du 11 Novembre,69270,Cailloux-sur-Fontaines,,45.852240,4.872630,04 78 22 55 11,,,Bus 77 : Cailloux Centre,,
Usine des eaux,2 avenue de Poumeyrol,69300,Caluire-et-Cuire,,45.789686,4.858970,,,,"Bus 70, 171, C1, C2, C5 : Saint-Clair Square Brosset / 9 : Les Eaux",XIXe ,Ce site industriel a alimenté en eau la ville de Lyon jusqu'en 1976. L’impressionnante pompe de Cornouailles est classée Monument historique.
La casemate de Montessuy,3 rue Paul Painlevé,69300,Caluire-et-Cuire,,45.791213,4.841881,,,,Bus C1 : Montessuy Calmette,XIXe ,"Partie de la ceinture défensive de Lyon, la casemate reliait les forts de Caluire et de Montessuy. Désaffectée, elle servit successivement d'abri antiaérien puis de champignonnière dans les années 60. "
Eglise de l'Immaculée Conception,Place de l'Eglise,69300,Caluire-et-Cuire,,45.799936,4.848284,,,,"Bus 33, 38, S5, S8 : Caluire Centre",XIXe ,"La première église du bourg date de 1650, démolie en 1690, elle fut reconstruite au XIXe siècle en pisé. Le portail et le fronton sont en pierre de Couzon."
Église de Saint-Clair,42 cours Aristide Briand,69300,Caluire-et-Cuire,,45.785175,4.846808,,,,Bus 9 : Bellevue,XIXe ,"L'église de Saint Clair est l’œuvre du célèbre architecte lyonnais, Sainte Marie Perrin, successeur de Pierre Bossan pour la basilique de Fourvière. Chemin de Croix original et importante collection d'objets et de vêtements sacerdotaux."
Hôtel de Ville,Place du Docteur Dugoujon,69300,Caluire-et-Cuire,,45.796565,4.842396,04 78 98 80 80,,,Bus 33-38-S5 : Caluire Hôtel de Ville,XIXe  ,"Maison d'architecture néoclassique,de 1846. Les façades sont inscrites à l'Inventaire des Monuments historiques."
Chapelle Saint-Joseph,Place du Docteur Dugoujon,69300,Caluire-et-Cuire,,45.796565,4.842396,04 78 98 80 80,,,Bus 33-38-S5 : Caluire Hôtel de Ville,XIXe  ,"Parfait exemple de l'art religieux lyonnais de la fin du XIX siècle, cette chapelle est l'œuvre de Sainte Marie Perrin est se trouve dans l'actuel hôtel de ville. "
Domaine de l'Oratoire,2 rue de l'Oratoire,69300,Caluire-et-Cuire,,45.783550,4.842491,,,,"Bus 38 : Cuire puis rejoindre la rue de l’Oratoire / Bus S5, C13 : Carette / Bus C1 : square Élie Vignal",XVIIe ,"Situé dans le quartier de Bissardon, cet ancien collège de jésuites (1620), qui fut également un pensionnat de jeunes filles, abrite actuellement l'Institut de Formation des Maîtres de l'Enseignement Catholique. Depuis les terrasses, un des plus beaux panoramas sur Lyon, les Alpes et les Monts du Lyonnais."
Jardins de La Rivette,46 quai Clémenceau,69300,Caluire-et-Cuire,,45.794445,4.831013,04 78 27 00 49,,,Bus 40 : Ile-Barbe,XVIIIe ,La Rivette est une maison de plaisance construite entre 1738 et 1740 vraisemblablement par Soufflot.
Jardins ouvriers,Rue Abbé Lemire,69300,Caluire-et-Cuire,,45.787666,4.846914,,,,Bus C13 : Clos de la Jeunesse,XXe ,"22 jardins ouvriers rassemblés, dans le quartier de Montessuy, offrant une vue imprenable sur les Alpes et sur l'agglomération."
Mémorial Jean-Moulin – Maison du Docteur Dugoujon,2 place Gouailhardou,69300,Caluire-et-Cuire,,45.799427,4.846172,,,,Bus 33-38-S5 : Caluire centre ; Bus C1-C2 : Caluire place Foch,,"Le Mémorial Jean Moulin est un lieu hautement symbolique où furent arrêtés, le 21 juin 1943, Jean Moulin et sept responsables de mouvements de résistance. La maison, restaurée, a été classée Monument historique."
Périphérique Nord,Chemin de la Belle-Cordière,69300,Caluire-et-Cuire,,45.790671,4.868133,,,,Bus 9-70-C1-C2-C5 / Ligne départementale 171. Navette gratuite mise à disposition en bas de la montée des Soldats (arrêt bus : Square Brosset lignes C5 et 171) Accès facile par la route (fléchage mis en place à proximité du site). Parking sur place,,"Le Périphérique Nord est un ouvrage urbain complexe à péage, d'une longueur de 10 km, composé de 4 tunnels, de 2 viaducs, de 7 portes et de 2 gares de péage."
Église Saint Bernadette,14 rue Paul Painlevé,69300,Caluire-et-Cuire,,45.791160,4.844174,,,,Bus C1 : Montessuy Calmette,,
"Passerelle de la Paix, côté Caluire","Grande Rue de Saint-Clair, Parc de Saint-Clair",69300,Caluire-et-Cuire,,45.787543,4.854380,,,,Bus C1- C2-C5-9-70 : Saint-Clair - Square Brosset,,
Centre Paul Morand,Place de la Mairie,69410,Champagne-au-Mont-d'Or,,45.795647,4.790150,,,,Bus 61 : Champagne Centre,,
Eglise Notre-Dame de l'Assomption,Place de l'Eglise,69260,Charbonnières-les-Bains,,45.778480,4.744317,,,,Bus 86 : Momet - TER : gare de Charbonnières-les-Bains,XXe ,Église néo-gothique dédiée à Saint-Roch comportant un orgue d’esthétique du début XIXe siècle.
Eglise Notre-Dame,Rue Pierre Juffet,69390,Charly,,45.644915,4.795252,,,,Bus 78 : Église puis 150 mètres à pied,XIIIe ,"Église restaurée en 2010 et jardin de la Paix. Peintures murales de Frenet, retables, statues et autres mobiliers classés Monuments historiques."
Château seigneurial,225 route de l'Etra,69390,Charly,,45.647381,4.795145,,,,Bus 78 : Charly-centre,XIVe ,"Château fort construit de 1315 à 1323 par Guillemet Miriboilli, pourvu à l’époque de nombreuses tours et donjons, d’un verger, de vignes, de douves et d’un étang."
Domaine Melchior Philibert,275 rue de l'Église,69390,Charly,,45.646822,4.796079,,,,"Bus 78 : Charly centre ou Eglise, puis 5 mn à pied",XIVe-XVIIe,"Domaine classé aux Monument historique avec maison des champs (XVIIe), peintures murales classées MH de Daniel Sarabat (1701), parc de 9 ha, pavillon, tour, belvédère, vestiges de jardins à la française. "
Médiathèque municipale - Espace Pierre Poivre,62 rue Oreste Zénézini,69680,Chassieu,,45.744114,4.970058,04 37 42 14 40,,,Bus 68-76 : Chassieu Mairie,,
Eglise Saint-Nizier du Vieux Collonges,10 rue du Vieux Collonges,69660,Collonges-au-Mont-d'Or,,45.825465,4.829071,,,,Bus 71 : Chantemâle,VIIe-XVIIe,"Transformée au cours des siècles, elle devient à la Révolution Temple de la raison. Des travaux de restauration sont entrepris en 1935 et 1965."
Mairie,Place de la Mairie,69660,Collonges-au-Mont-d'Or,,45.823606,4.840044,,,,Bus 71 : Écoles de Collonges,,
Aérodrome Lyon - Corbas,Rue Clément Adler,69960,Corbas,,45.656873,4.916317,04 72 50 28 42,,,Bus 76 : Les dauphins (samedi) - Bus 54 : Rue du midi,XXe ,"Implantée sur le terrain d'aviation de Lyon-Corbas, l'association Les Ailes Anciennes de Corbas préserve en état de vol des appareils du patrimoine aéronautique."
Les chocolats d'Abi et Lisa,14 avenue de la Villermé,69960,Corbas,,45.670495,4.900189,,,,Bus 54 : Corbas Mairie,,"Chocolaterie : fabrication de bonbon chocolat, moulages."
Musée de l'aviation Clément Ader - Espaces Aéro Lyon Corbas EALC - Parc de loisirs,rue Nungesser et Coli,69960,Corbas,,45.656769,4.909046,,,,,,"Histoire du patrimoine aéronautique en Rhône-Alpes : le musée présente une collection d'aéronefs restaurés, propulseurs allant des moteurs ""en étoiles"" aux propulseurs de fusées."
Marché de gros,69 rue Marcel Mérieux,69960,Corbas,,45.673028,4.925927,,,,Bus 87 (au départ de la Gare de Vénissieux) : Pôle Agro-Alimentaire,,"Premier marché de gros privé français en fruits et légumes, plate-forme d'approvisionnement du commerce de proximité."
Eglise Saint-Maurice,Place Emile Fayard,69270,Couzon-au-Mont-d'Or,,45.845635,4.828856,,,,Bus 40 : Couzon,XIIIe-XIXe ,Cette église construite en 1855 doit son architecture à Pierre Bossan. Son clocher du XIIIe siècle est inscrit sur la liste des monuments historiques.
Musée de la blanchisserie,104 avenue Joachim Gladel,69290,Craponne,,45.748504,4.721302,,,,Bus C24 ou 73 : Craponne Centre,XXe ,"Situé dans l’ancienne usine des établissements Gladel, fabricants de machines à laver de 1902 à 1991, le musée présente 200 objets du début du XXe siècle, machines à laver et à essorer, fers à repasser "
Salle des fêtes Les enfants de Craponne,Avenue Jean Bergeron,69290,Craponne,,45.746042,4.722278,04 78 44 89 55,,,Bus C24 ou 73 : Craponne Centre,,
Mairie,1 place Charles de Gaulle,69290,Craponne,,45.743400,4.723234,,,,"Bus C24, 73 : Craponne Mairie",,
Château,Route des Monts d'Or,69250,Curis-au-Mont-d'Or,,45.868163,4.819539,,,,Bus 84 : Curis-la-Planche,XIIe ,"Maison forte érigée au cœur d’une châtellenie foncière. Fin XIXe-début XXe siècle, le paysagiste Luizet se voit confier la réalisation d’un parc romantique ou parc paysager."
Aqueduc de la Brévenne,Parc de L'Aqueduc,69570,Dardilly,,45.812115,4.754126,,,,Bus 89 : Les Peupliers,Ier ,Construit par l’empereur Claude pour acheminer les eaux de la rivière de la Brévenne jusqu’à la capitale des Gaules.
Fort du Paillet,Chemin du Fort,69570,Dardilly,,45.824607,4.748144,,,,Bus 3 : Le Paillet - GE4-86 : La Tour de Salvagny,XIXe ,Fort construit entre 1883 et 1886 dans le cadre d’une couronne de défense de Lyon décidée après la guerre de 1870. 
Eglise Saint-Jean-Marie-Vianney,Place de l'Église,69570,Dardilly,,45.805454,4.753198,,,,Bus 3 : Dardilly-le-Bas,XIXe ,Eglise néo-gothique en pierre de taille conservant la cuve de cuivre rouge sur laquelle Saint-Jean Marie Vianney reçut le baptême.
Musée des Outils d'antan,Fort du Paillet - Chemin du Fort,69570,Dardilly,,45.824607,4.748144,,,,Bus 3 : Le Paillet - GE4-86 : La Tour de Salvagny,XIXe ,"Musée des outils d'antan, outils agricoles, vinicoles, outils du bois et de la vie courante."
Ancien presbytère,6 chemin de la Grabotière,69570,Dardilly,,45.805848,4.753407,,,,Bus 3 : Dardilly-le-Bas,XVIIIe ,"Bâtiment en pierres à trois niveaux, construit en 1766 et restauré en 1983. "
Maison natale du Curé d'Ars,2 rue du Curé d'Ars,69570,Dardilly,,45.804744,4.753488,,,,Bus 3 : Dardilly-le-Haut,XVIIIe-XIXe,"Maison située près de l’église du bourg, appartenant encore aux descendants de la famille Vianney, où le futur curé d’Ars passa les 20 premières années de sa vie."
Lavoir du Clair,Chemin du Lavoir,69570,Dardilly,,45.819050,4.745530,,,,Bus 3 : Dardilly - Le Paillet,XXe ,Lavoir construit en 1901 à l’emplacement d’une ancienne mare par l’architecte Louis Duclos. 
Ecole de Musique,59 chemin de la Liasse,69570,Dardilly,,45.812318,4.755566,,,,Bus 3 : Dardilly-le-Bas,XXIe ,"L’école de musique, inaugurée en 2012, est construite suivant les normes BBC (bâtiment basse consommation) et ancrée dans la pente pour une insertion harmonieuse dans l’environnement."
,Place de l'Église,69570,Dardilly,,45.805454,4.753198,,,,Bus 3 : Dardilly - Le Paillet,,"Dardizillieu, ancêtre de Dardilly, a été fortifié au début du XIIIe sous l'impulsion de Renaud de Forez, archevêque de Lyon et seigneur du village."
Chemin de la Beffe,0,69570,Dardilly,,45.808925,4.732769,,,,Bus 86 : Montcourant,,
Chemin de l'Orée du Bois,0,69570,Dardilly,,45.797227,4.757316,,,,Bus 3 : Bois de Dardilly,,
Mairie de Dardilly,Place Bayère,69570,Dardilly,,45.806306,4.753684,04 78 66 14 50,,http://www.dardilly.fr,Bus 3 : Dardilly-le-Bas,,
Le Toboggan,14 avenue Jean Macé,69150,Décines-Charpieu,,45.768904,4.955836,04 72 93 30 00,,,"Tram T3, Bus 67 : Centre-ville",XXe,"Centre culturel conçu par les architectes Michael Munteanu et Perianu dans un esprit très contemporain, qui regroupe plusieurs équipements : théâtre, cinéma, espace d’exposition, médiathèque"
Entreprise Gifrer et Barbezat,08 et 10 rue Paul Bert,69150,Décines-Charpieu,,45.769473,4.950529,,,,"Tram T3 : arrêt Décines centre, puis poursuivre à pied (10mn)",XXe,"Entreprise pharmaceutique française, spécialisée dans la production de produits pour l'officine depuis le début du XXe siècle, où en 1912 l'entreprise acquiert une ancienne usine de films."
Centre National de la Mémoire Arménienne (CNMA),32 rue du 24 Avril 1915,69150,Décines-Charpieu,,45.768394,4.946901,,,,Tram T3 : arrêt Décines-centre et 5' de marche – Bus 67 : arrêt Décines Wilson et 1' de marche,,Le CNMA est un nouvel acteur culturel de la Métropole de Lyon à rayonnement régional et national. Sa philosophie pourrait être : “Rester soi en devenant autre” gage d'une capacité vivante de création culturelle.
Hôtel de ville,Place Roger Salengro,69150,Décines-Charpieu,,45.769136,4.956944,,,,"Tram T3, Bus 67 : arrêt Centre Ville",,
Château du Vivier,6 chemin du Trouillat,69130,Écully,,45.776835,4.772452,,,,"Bus 3, 55 : Trouillat – Bus 19 : Écully Centre",XIXe ,"Construit entre 1880 et 1884, dans le style néo-gothique par l'architecte Cahuzac, disciple de Violet-le-Duc, le château est entouré par un parc dessiné par le paysagiste écullois Luizet."
Place de la Libération,0,69130,Écully,,45.775544,4.778226,,,,"Bus 3, 19 : Écully Centre",,"La place de la Libération est au centre d'Écully. S'y trouvent l'église Saint-Blaise, le monument de la victoire et la mairie. "
Centre culturel ,21 avenue Edouard Aynard,69130,Ecully,,45.779082,4.778484,04 78 33 64 33,maison-rencontre-ecully@wanadoo.fr,,Bus 3-19 : Centre culturel,,Nouveau Centre Culturel réhabilité.
Fort de Feyzin,Route du Docteur Long,69320,Feyzin,,45.674278,4.865966,,,,"Bus 60, 39 : arrêt La Bégude ou Feyzin Mairie",XIXe  ,Fort militaire maillon de la chaîne des forts de l'agglomération lyonnaise.
Maison de la culture,Rue de Saint-Just-Malmont,42700,Firminy,Firminy,45.376088,4.292563,04 77 10 07 77,,,,,
Espace Fleurieu,Rue du stade,69250,Fleurieu-sur-Saône,Saint-Étienne,45.863494,4.845906,,,,"Bus 40, 70 : arrêt Fleurieu",,
Moulin de la Terrasse,545 rue des Prolières,69270,Fontaines-Saint-Martin,Vienne,45.846160,4.860760,,,,Bus 77 : Fontaines Saint-Martin Centre. Prendre la rue des Prolières sur 500 mètres,XIIIe ,"Dans un site exceptionnel, le Moulin de la Terrasse, avec sa roue à augets, accueille un micro-musée de meunerie, patrimoine de la famille Pittiou depuis 100 ans. Exposition de sculptures de Marc Pittiou."
Eglise,Place de l'Eglise,69270,Fontaines-Saint-Martin,,45.845293,4.854705,,,,Bus 77 : Fontaines-Saint-Martin-Centre,,
Moulin - Ecomusée,Allée Jacques Sève - Esplanade Charles-de-Gaulle,69270,Fontaines-Saint-Martin,,45.844968,4.856975,,,,Bus 77 : Fontaines-Saint-Martin-Centre,,
Fort du Bruissin,Rue du Château d'eau,69340,Francheville,,45.730562,4.739372,04 72 32 92 98,,,Bus C20E : Fort du Bruissin,XIXe ,"Edifié après la guerre de 1870 par le Général Séré de Rivières pour renforcer la ceinture des forts qui protégeaient Lyon, il accueille depuis 2008 un centre d’art contemporain."
Ecole Intercommunale de l'Etoile d'Alaï,Chemin de la Poterie,69340,Francheville,,45.749116,4.760921,04 78 34 30 99,,,"Bus C24, 73 : Rond point d'Alaï",XXIe ,Cette construction de 1915 m² accueillant jusqu’à 320 élèves fait l’objet d’une démarche collective d’optimisation énergétique et environnementale.
Médiathèque IRIS,1 montée des Roches,69340,Francheville,,45.730719,4.765191,04 37 23 68 37,mediatheque@mairie-francheville69.fr,http://www.mairie-francheville69.fr,Bus C20E : Gare de Francheville,,
Mairie,Place des libertés,69730,Genay,,45.897330,4.840763,04 78 91 45 79,,http://www.paroisses-valdesaone.com,Bus 43 : Genay,,La salle du conseil a été entièrement remaniée et rénovée en 2015. Cinq vitraux rénovés de l'artiste-verrier local Augustin Burlet ornent les murs.
Eglise Saint-Martin-de-Cornas,Hameau de Saint-Martin-de-Cornas,69700,Givors,,45.586301,4.715559,,,,D2e depuis la D 34 ou route de Mornant (au départ de Givors),Xe ,Hameau agricole typique des villages du Lyonnais. De la chapelle (Xe siècle) vue sur les paysages s'étendant du Pilat au plateau de Mornant et aux Monts du Lyonnais.
Eglise Saint-Pancrace de Bans,Chemin du Fortunon,69700,Givors,,45.572684,4.786739,,,,Bus 81 : Abricotiers,XIIe ,"Eglise romane. Situé au sud de Givors, au pied de la colline, le quartier de Bans et ses habitants ont développé une spécialité de poteries à usage domestique qui perdurera jusqu'à la fin du XIXe siècle. L'agriculture et le transport fluvial sont deux des autres particularités de Bans. "
Eglise Saint Nicolas,Place de l'Eglise,69700,Givors,,45.582934,4.775504,,,,"Bus 80, 81 : Givors Hôtel de Ville",XIXe  ,"""Monsieur le Curé, vous avez fait un miracle et ce miracle est une merveille"" : aux dires d’un éminent prélat de l’époque, un style original et unique qui justifie une visite… Vitraux monumentaux attribués à de grands maîtres verriers du XIXe siècle, un orgue Merklin, des tableaux du XVIIe siècle, dont 2 classés Monument historique."
Moulin de Givors,Impasse Platière,69700,Givors,,45.589423,4.768466,,,,"Bus 78, 80 : arrêt Givors-Leclerc",XXe ,"Ancienne minoterie du quartier de Canal, symbole de la vie industrielle de Givors, Le Moulin Madiba, inauguré en février 2014, est aujourd’hui le pôle culturel de la ville."
La Mostra,3 rue du Suel,69700,Givors,,45.582341,4.772530,,,,"Bus 80, 81 : Givors Hôtel de Ville",XXe ,La Mostra est un lieu d’exposition située au cœur de la Cité des étoiles de Jean Renaudie qui a reçu en 2003 le label du patrimoine du XXe siècle.
Mosquée Khaled Ibn El Walid - Grande Mosquée de Givors,Impasse Honoré Pététin,69700,Givors,,45.592645,4.772722,04 78 51 42 63,mosquee-de-givors@outlook.fr,,Bus 78 : Pététin,,"Inaugurée en 2013 la mosquée Khaled Ibn Walid de Givors a été réalisée par l'architecte Ibn Abdelkin kamal, selon des plans en référence aux Etoiles de Jean Renaudie, Dotée d'une bibliothèque, la mosquée est lieu cultuel et culturel."
,Place Jean Jaurès,69700,Givors,,45.582760,4.774228,,,,"Bus 80, 81 : Givors Hôtel de Ville",,
Théâtre de Givors,Rue Puits Ollier,69700,Givors,,45.581478,4.774017,,,,Bus 80 et 81 : Givors Hôtel de Ville,,
Halte fluviale,Quai de la navigation - Promenade Maurice Thorez,69700,Givors,,45.588186,4.774890,,,,,,
Mairie de Givors,Place Camille Vallin,69700,Givors,,45.582431,4.773854,04 72 49 18 18,,http://www.givors.fr,Train TER : Givors-Ville ; Bus 101 : Givors-Ville,,
Les souterrains de Grigny,Rue du 11 novembre 1918,69520,Grigny,,45.608161,4.791151,,,,"Bus 80, 78 : Mayer - TER : Grigny-le-Sablon",XIIe  ,"Souterrains situés sous les jardins de l'hôtel de ville de Grigny (ancien château), autrefois cellules pour les prisonniers. "
Hôtel de Ville,3 avenue Jean Estragnat,69520,Grigny,,45.609003,4.789428,,,,TER : Grigny-le-Sablon ; Bus 80,XVIIe  ,Château de 1620 possédant l’un des plus vastes ensembles de peintures murales à la détrempe du XVIIe siècle de la région Rhône-Alpes. 
La Rotonde - Centre de triage ferroviaire,Avenue Marcellin Berthelot,69520,Grigny,,45.602734,4.789524,,,,Bus 78 : Terrasse des Arboras - TER : Grigny-le-Sablon,XXe  ,"Emblème de la gare du triage de Badan. Construite en 1945, la Rotonde se situe le long des voies de chemin de fer reliant Saint-Étienne à Givors. "
Fort de Montcorin,3 chemin du Châtaignier,69540,Irigny,,45.677649,4.807673,,,,Bus 15 : Champvillard (5 minutes à pied),XIXe ,"Fort construit de 1879 à 1881, maillon de la ceinture de défense de la ville de Lyon."
Patadôme Théâtre,62 rue d'Yvours,69540,Irigny,,45.686720,4.826638,,,,Bus 18 depuis Perrache : Yvours ou Le Broteau - Bus 15 : arrêt Le Péage,XXIe ,Un théâtre à l'architecture unique et atypique : une construction 100% bois. Une demi-sphère de bois constitue un espace scénique modulable à l'acoustique surprenante.
Département professionnalisation des salariés (Centre de formation RTE),23 avenue Lionel Terray,69330,Jonage,,45.769704,5.034727,,,,Tram T3 : arrêt Meyzieu ZI. Bus 198 : arrêt Meyzieu ZI,,"Unique en France, le centre de formation Réseau de Transport d’Electricité (RTE) de Jonage reproduit les conditions réelles de travail des salariés grâce à des installations pédagogiques illustrant la diversité des appareillages rencontrés sur le terrain. Il accueille chaque année plus de 2500 stagiaires."
Maison du Confluent,1 place Général Leclerc,69350,La Mulatière,,45.727753,4.806561,,,,Bus 15 : Maison du Confluent,XIXe ,Edifice construit entre 1894 et 1896 selon les plans de l'architecte Henri Moncorger.
La bonne Maison,101 chemin de Fontanières,69350,La Mulatière,,45.741588,4.809020,04 78 86 62 00,mairie@lamulatiere.fr,http://lamulatiere.fr,Bus C 19 : Léon-Favre,,"Jardin privé, comportant roses anciennes et botaniques, vivaces, clématites, bulbes."
Ecocentre du Lyonnais,60 chemin du Jacquemet,69890,La Tour-de-Salvagny,,45.813165,4.700947,,,,Bus 86 : Les Chambettes,,"Le lieu comprend un bâtiment de 500m2 bâtis en bois, paille, terre et chaux ainsi que 2,2 hectares de jardins dédiés à la découverte et la protection de la nature."
Embranchement Route du Puy d'Or et chemin de Beluzes,0,69760,Limonest,,45.820136,4.775202,04 72 52 25 80,,,Bus 21 : Hameau du Puy d'Or,,"La découverte sur la crête du chemin de Saint-André à Limonest d'un habitat qui a évolué lentement, du Moyen-Age à nos jours."
Château du Bois Dieu,0,69380,Lissieu,,45.844941,4.743126,,,,Bus 21 : Plambeau  ; Bus 61 : Lissieu le Nelie,XVIIIe ,Le château du Bois Dieu bénéficiait dans son parc d’une glacière qui fait l’objet d’un important programme de rénovation.
Amphithéatre des Trois Gaules,Rue Lucien Sportisse,69001,Lyon 1er,,45.770415,4.830562,,,,"Bus C18, C13 : Mairie du 1er - S12-S6 : Jardin des plantes",Antiquité,"Vestiges de l’amphithéâtre, classé Monument historique, construit aux Ie et IIe siècles à la gloire de Rome et d’Auguste."
Collège la Tourette,80 boulevard de la Croix Rousse,69001,Lyon 1er,,45.773776,4.825203,,,,Bus C13 : Clos Jouve - métro C : Croix-Rousse,XIXe ,"Ancienne école normale d’institutrices, restructurée en collège contemporain en 2013."
Passage Thiaffait,19 rue René Leynaud,69001,Lyon 1er,,45.769752,4.833163,,,,"Métro C : station Croix Paquet - Bus C13, C18, S6 : Mairie du 1er",XIXe ,"Autrefois lieu de référence architecturale et espace d’habitation, cette traboule est également aujourd’hui le lieu de la jeune création de mode et du design à Lyon."
Institution des Chartreux,58 rue Pierre Dupont,69001,Lyon 1er,,45.771886,4.822483,,,,Bus C13-C18-2-45-S4 : Clos Jouve et les Esses,XIXe ,"Chapelle de l'Institution des Chartreux à Lyon, construite entre 1860 et 1864."
Eglise réformée des Terreaux,10 rue Lanterne,69001,Lyon 1er,,45.766540,4.831792,,,,"Métro A et C : station Hôtel de Ville - Louis Pradel - Bus : C3, C18, S6, C13, 19, 44, N12 : Terreaux",XIXe ,Église de style néogothique (1856). Orgue Joseph Merklin de 1891 installé en tribune.
Chapelle des Chartreux,52 rue Pierre Dupont,,Lyon 1er,,45.771267,4.821921,,,,"Bus C13, C18, 2, 45, S4 : Clos-Jouve ou les Esses - S12 : Les Chartreux",XIXe,"Chapelle de l'Institution des Chartreux à Lyon, construite entre 1860 et 1864."
Eglise Saint Bruno des Chartreux,52 rue Pierre Dupont,69001,Lyon 1er,,45.771267,4.821921,,,,"Bus C13, C18, 2, 45, S4 : Clos-Jouve ou les Esses - S12 : Les Chartreux",XVIe-XVIIIe ,"Eglise baroque de l'ancienne chartreuse de Lyon, cloître, salle capitulaire, baldaquin unique drapé de tissu véritable."
Fort Saint-Jean - Ecole Nationale du Trésor Public,21 montée de la Butte,69001,Lyon 1er,,45.769949,4.815676,,,,Bus C13-C18 : Duroc,XVIe-XIXe ,Le fort Saint-Jean abrite l’École nationale des Finances Publiques.
CAUE Rhône Métropole,6bis quai Saint-Vincent,69001,Lyon 1er,,45.768757,4.815217,,,,"Bus C14, 19, 31, 40, 45 : Pont Koenig (rive droite ou rive gauche)",XVIIe-XXe,Bâtiment accroché à la montée de la Butte sur un site prestigieux le long des rives de Saône qui accueille depuis 1988 le CAUE
Ecole nationale supérieure des beaux-arts de Lyon (ENSAL),8 bis Quai Saint Vincent - Réfectoire des nonnes,69001,Lyon 1er,,45.767916,4.817259,,,,"Bus C14, 19, 31, 40 : Les Subsistances ou Homme de la Roche",XVIIe ,"Ancien réfectoire du couvent de religieuses de l'Ordre de La Visitation, le Réfectoire des nonnes est aujourd'hui la galerie d'exposition de l'ENSBA."
Eglise Saint Polycarpe,25 rue René Leynaud,69001,Lyon 1er,,45.769890,4.834027,,,,"Métro A : station Hôtel de Ville-Louis Pradel - Métro C : station Croix-Paquet - Bus 6, 13, 18 : Mairie du 1er",XVIIe ,"Achevée en 1670, à l’exception de la façade construite en 1756, l’église apparaît principalement par sa façade monumentale, classique, avec pilastres et chapiteaux corinthiens."
Les Subsistances,8bis quai Saint Vincent,69001,Lyon 1er,,45.768123,4.815959,+33 (0)4 78 39 10 02,,http://www.les-subs.com,"Bus C14, 19, 31, 40 : Les Subsistances ou Homme de la Roche",XVIIe ,"Ancien couvent puis site militaire, les Subsistances sont aujourd'hui un laboratoire international de création artistique."
