descriptif,name,adresse1,adresse2,town,postal_code
"Ancien couvent des Augustins (XVe siècle) accolé aux murailles de la ville. La tour carrée du clocher héberge aujourd'hui l'office de tourisme.Une baie obturée de la nef laisse deviner l'ancienne chapelle. La cour, ouverte, remplace les anciens jardins.",Tour des Augustins,"24, avenue des Terreaux",,Beaurepaire,38270
"Église datant du XVe siècle, le porche du XVIe siècle et la nef de 1892. Le chœur a été restauré en 2013-2014 révélant des peintures en trompe l’œil d’une grande finesse.",Eglise Saint-Michel,Rue de la République,,Beaurepaire,38270
"Église édifiée du XIe au XVe siècle de style roman avec quelques éléments gothiques. Plafond à caissons peints, représentant des scènes bibliques (ancien et nouveau Testament).",Église de Beauvoir-de-Marc,Église,,Beauvoir-de-Marc,38440
"Berceau de l’histoire des Dauphins, le couvent des Carmes abrite aujourd’hui des espaces variés : jardin médiéval, verger, musée des Dauphins et musée de la flore du Vercors.",Site médiéval du Couvent des Carmes,"1, ancienne route de Presle",,Beauvoir-en-Royans,38160
Église du XIXe siècle rénovée en 2007.,Eglise Notre-Dame de la Nativité,Le haut de Bellegarde,,Bellegarde-Poussieu,38270
"Installée dans un environnement exceptionnel, cette chapelle est l’ancienne église de la paroisse de Bellegarde. À l’origine dédiée à saint Saturnin, elle s’élève au sud de l’enceinte du château de la famille de Bellegarde, dont il est fait mention dès le XIe siècle. Le plan de l’édifice est d’une grande simplicité : une nef unique, autrefois charpentée, suivie d’un chœur à chevet plat. Remarquable pour son clocher peigne, l’ensemble peut être daté de la fin du Moyen Âge.",Chapelle de La Salette,Lieu-dit La Salette,,Bellegarde-Poussieu,38270
"Décrite «en ruines» en 1545, cette maison forte fut acquise en 1573, puis réparée par François de Vachon, président du Parlement du Dauphiné. Le logis est coiffé d'une remarquable toiture typiquement dauphinoise. Côté jardin, un couple d'ifs et un buis âgés d'environ quatre siècles. Protégé au titre des Monuments historiques.",Château de Belmont,"63, chemin de la Croze",,Belmont,38690
,Clos Michel,Chemin du Vivier,,Bernin,38190
"Associé à la Fédération des Alpages de l'Isère, cet écomusée présente, à travers une approche ludique, l’évolution de l’agropastoralisme en Oisans, le métier de berger, la transhumance, les alpages, le paysage de la vallée du Ferrand, la vie et l’histoire d’un village de haute altitude.",Maison départementale des Alpages,Le Village,,Besse-en-Oisans,38142
Église construite en 1856. Les peintures et tableaux sont tous d'origine. Aucune transformation n'a été faite depuis sa construction. L'ensemble est représentatif de l'architecture religieuse du XIXe siècle et de l'architecte diocésain Berruyer.,Église,"145, route du village",,Bessins,38160
"Le Château Servien, maison forte remontant vraisemblablement au XIIe ou XIIIe siècle, a été transformé en résidence d’agrément à la Renaissance. L'enracinement de la famille Servien à Biviers est très ancien et remonterait au mariage en 1500 de Jean Servien, conseiller au Parlement de Grenoble et bisaïeul d’Abel, avec Catherine de Morard d’Arces, alors qualifiée de dame de Biviers.",Château Servien,78 chemin du Boeuf,,Biviers,38330
"Destinée à remplacer l’ancienne église vétuste qui se trouvait sur le tracé de la ligne de chemin de fer Lyon-Grenoble, l’édifice actuel a été construit en 1840 à l’aide des matériaux de la précédente. Le maître-autel porte l’empreinte des familles de Virieu-Pupetières et de Vallin. De belles peintures à admirer.",Église Saint-Jacques-le-Majeur,,,Blandin,38730
"Ce château du XVIIe siècle est protégé au titre des Monuments historiques. Vestibule remarquable par ses décors italiens en trompe-l'œil. Chambre Empire avec ses décors d'origine. Et autour un parc animalier de 30 hectares avec plus de 150 animaux d'Europe : loups, lynx, renards, cerfs, bouquetins...",Château et parc animalier de Moidière,Chemin du château,,Bonnefamille,38090
Petit musée présentant environ 500 outils anciens utilisés par les différentes corporations de métiers ayant exercé sur la commune de Bossieu. Visites commentées et démonstration d’affûtage des outils.,Ecomusée du patrimoine des métiers,Place Marius Richard Berland,,Bossieu,38260
"Ce musée est le seul en Rhône-Alpes à présenter l'histoire de l'impression sur étoffes, domaine à part entière de la fabrique lyonnaise de soieries. Des premiers tampons d'impression aux dernières technologies informatiques, il témoigne d'un savoir-faire transmis depuis plus de deux siècles dans cette région de l'Isère. Le parcours muséographique s'organise autour de deux grands thèmes : l'ennoblissement textile, qui a forgé l'identité industrielle de la région et les beaux-arts, avec les peintres Victor Charreton (1864-1936) et Alfred Bellet-du-Poisat (1823-1883).",Musée de Bourgoin-Jallieu,17 rue Victor Hugo,,Bourgoin-Jallieu,38300
"Maison Seignoret-Lupin édifiée vers 1870 par une famille d'industriels lyonnais. L'extérieur et l'intérieur de ces lieux sont à découvrir, soubassement, bandeaux moulurés, balustrades, hall majestueux au dallage en mosaïque, escalier monumental... Plusieurs décors sont peints par Castel-Desgrange.",Mairie de Bourgoin-Jallieu,Rue de l'Hôtel de ville,,Bourgoin-Jallieu,38300
"Au Moyen Âge, il s'agissait de l'une des principales places fortes delphinales qui bénéficiait d'une situation de contrôle privilégiée s'exerçant à la fois sur un territoire, un axe fluvial et une frontière. Après une période d'apogée (XIVe-XVIe siècles), Quirieu fut peu à peu abandonné.
Ce «village fantôme» prend ainsi des allures de décor de conte de fées où le rêve, l'imaginaire et la poésie côtoient l'histoire.",Site de Quirieu,Montée de Quirieu,,Bouvesse-Quirieu,38390
"Cet espace d’exposition, créé sous les auspices de l’association Brangues, village de littérature, permet au public de mieux connaître la vie et l’œuvre de ces deux grands écrivains de notre patrimoine littéraire national.",Espace d'Exposition Claudel-Stendhal,"154, rue du village",,Brangues,38510
"Maison forte du Dauphiné construite au XIVe siècle puis réaménagée en maison de villégiature aux XVIIe et XVIIIe siècles, ouverte sur le midi, ce qui donne à l’édifice toute sa majesté. Une cour intérieure constitue une curiosité pour les visiteurs qui la découvrent, elle témoigne de tout ce qui était nécessaire pour faire face à un état de siège. Deux grosses tours encadrent l’ensemble de l’édifice.",Château de Brangues,,,Brangues,38510
"Campé sur une hauteur et protégé au titre des Monuments historiques, ce château féodal témoigne encore, avec ses ruines majestueuses en briques roses, du rôle militaire qu’il a joué au Moyen Âge. De la forteresse, édifiée dans la seconde moitié du XIIIe siècle, subsistent dans un bon état de conservation les tours portières et le haut donjon cylindrique. De la plateforme sommitale, un superbe panorama à 360°.",Château de Bressieux,Le bourg,,Bressieux,38870
"Edifiés dans la seconde moitié du XIIIe siècle, les tours portières et le haut donjon cylindrique du château subsistent toujours dans un bon état de conservation. Le musée qui jouxte ces vestiges retrace l’occupation humaine de Bressieux, de la préhistoire à l’époque moderne. Le mobilier et les éléments de parure évoquent la vie au château.",Musée,Le bourg,,Bressieux,38870
"Présentation de deux tableaux remarquables, protégés au titre des Monuments historiques. La chrétienté enchaînée (fin du XIXe siècle) et le tableau de retable  La Vierge entourée de Saint-Michel et de Saint Roch (offert  par la paroisse au début du XVIIe siècle). 
L'auteur, inconnu, pourrait-être un peintre local puisqu'il a représenté en arrière-plan la chaîne du Vercors telle qu'on peut la voir de la région.",Église,Place de l'église,,Bressieux,38870
"Blottie dans un écrin de verdure, la chapelle est un joyau du patrimoine isérois. Par son architecture et son mobilier classé, l'édifice témoigne de l'histoire d'une paroisse rurale des XVIIe et XVIIIe siècles. Beau panorama sur le plateau de Champagnier et le Vercors. Le site bénéficie du label ""Patrimoine en Isère"".",Chapelle Médiévale Saint-Hippolyte des Angonnes,Roue des Angonnes (RD 112),,Brié-et-Angonnes,38320
"La première église paléochrétienne a été profondément remaniée à l'époque médiévale et au XIXe siècle. Outre son aspect architectural actuel, elle présente un bel ensemble statuaire restauré. Beau vitrail contemporain.",Église Saint-Pierre de Brié,Place de l'église,,Brié-et-Angonnes,38320
"Monument du XIXe siècle. À voir : les vitraux, le grand Christ et le tabernacle, la chapelle du Saint-Sacrement, la chapelle de la Vierge, les fonts baptismaux, l’autel, les statues.",Église Notre-Dame de l'Assomption,rue de l'église,,Châbons,38690
"Pupetières est né au XIIIe siècle. Ayant subi les ravages de la Révolution française, cet édifice a été restauré par Eugène Viollet-le-Duc en 1861. Ce château néogothique est un des chefs-d’œuvre de l’architecture du XIXe siècle. Le célèbre architecte a su associer la pierre, la brique, le pisé, le galet en pesci (écailles de poisson) avec une harmonie parfaite et mettre en valeur les armoiries, fleurs de lys, tapisseries, mobilier et objets d’art.",Château de Pupetières,100 route de Virieu,,Châbons,38690
"La petite église du XVIIe siècle, entourée de son cimetière, est située sur une hauteur. C'est un édifice plein de charme, composé d'une nef unique et d'un chœur. La façade d'entrée est surmontée d'un clocher.",Eglise Saint-Michel,Chemin des vignes,,Chalon,38122
"Au cœur de la cité Navarre, ce musée évoque la vie du village au XIXe siècle, la vie familiale et quotidienne, les métiers anciens, l’agriculture et les industries. Une large place est faite à l’histoire de la ganterie grenobloise, aux industries du XIXe siècle, à l’artisanat et l’agriculture.",Musée Autrefois,Centre socio-culturel Navarre,Pont de Champ,Champ-sur-Drac,38560
"Cette chapelle du XVe siècle au pittoresque clocher pignon dépendait du prieuré Saint-Michel-de-Connexe. Sur le portail, seul ornement de l’édifice, figurent les armoiries de la famille «Allemand» et de son évêque. À l’intérieur on peut admirer les vitraux, tableaux, tentures et le nouveau chemin de croix, tandis que l’extérieur offre une belle vue sur la plaine du Drac et le Vercors.",Chapelle Notre-Dame-des-Autels,Ancienne route entre Champ-sur-Drac et Saint-Georges-de-Commiers,,Champ-sur-Drac,38560
"Vestiges d’un prieuré conventuel du XIe siècle, dépendant de l’abbaye de Saint-Chaffre en Velay. Situé à mi-hauteur du Connexe, à environ 30 minutes de marche en montée depuis le village de Champ-sur-Drac, sur le «sentier des chasseurs». L’église du monastère, aujourd’hui ruinée, comporte une crypte, pour l’instant inaccessible, mais dont on peut voir les deux entrées latérales.",Prieuré Saint-Michel-de-Connexe,,,Champ-sur-Drac,38560
"Construit pour les communautés catholiques (chapelle haute) et protestantes (chapelle basse) dans le cadre du plan général d'aménagement de Roche-Béranger en 1967, ce patrimoine exceptionnel du XXe siècle est un dialogue cinétique entre l'architecte de Pierre Jomain et les artistes Arcabas et Pierre Székely.",Eglise du Saint-Esprit,"165, rue des Pensées Roche-Béranger",,Chamrousse,38410
"La maison de verre et de lumière, joyau architectural contemporain de Pierre Jomain, est un lieu de création.",Chalets des Cimes,"230, rue des chardons bleus, Roche Béranger",,Chamrousse,38410
"Le domaine de l’Arselle à 1 700 mètres d’altitude bénéficie d’une vue panoramique grandiose sur le Vercors, le Taillefer et l’Alpe du Grand-Serre. Autrefois, le centre montagnard de jeunesse de Bachat-Bouloud était composé de huit villages d’enfants. Aujourd’hui, nous pouvons encore admirer l’œuvre monumentale de Pierre Székely représentative de cette grande cour de récréation : le Totem des Totems, un ange assis gardien des enfants.",Domaine de l'Arselle,"195, rue de Bachat-Bouloud",,Chamrousse,38410
"Au sommet du hameau de Bellecombe, à 700 mètres d’altitude, près du ruisseau nommé le Cernon trône une ruine castrale. Les remparts du château du Xe siècle sont encore bien visibles. À l’extérieur du petit village de Bellecombe, quelques rares murs du premier rempart du bourg fortifié se distinguent encore.",Château et église,Hameau de Bellecombe,,Chapareillan,38530
"Le musée présente en deux expositions les découvertes des fouilles archéologiques effectuées dans le lac. Venez découvrir la vie quotidienne de l'une des toutes premières communautés d'agriculteurs, éleveurs et artisans, installés au bord du lac de Paladru environ 2700 ans avant notre ère. ",Musée Archéologique du Lac de Paladru,15 Place de l'Eglise,,Charavines,38850
"Cette église construite en 1873, et restaurée en 1999, présente de nombreuses statues, une très belle chaire sculptée en noyer, un remarquable confessionnal d’angle.",Église Saint-Roch et Saint-Sébastien,Chemin de l'église,,Charnècles,38140
"Construite en 1862 par l'Abbé Théodore Combalot, l'église possède le plus ancien carillon de la région Rhône-Alpes. Pourvu de 19 cloches, il a été classé Monument historique en 1991. Église protégée également. Consacrée en 1862, de style néo-gothique elle révèle des richesses : décor peint de couleurs vives, mobilier liturgique, chaire et chemin de croix en fonte moulée.",Eglise,Place de l'église,La grande Charrière,Châtenay,38980
"Maison forte du XIIe siècle, jardin d’inspiration médiévale. (Propriété privée).
",Maison Forte de Cazeneuve,"1879, route de Cazeneuve",,Châtonnay,38440
"L'ancienne usine de moulinage de la soie Crozel est un complexe industriel rural datant de la fin du XVIIIe siècle qui présente la singulière particularité d'être resté dans l'état où il se trouvait dans les années 1920, lorsque l’activité a cessé. Tout le cycle de production du fil de soie, du grainage à la soie ouvrée en passant par la filature est aujourd'hui encore parfaitement visible. La qualité des machines, leur caractère complet constituent l'intérêt exceptionnel de ce site privé protégé au titre des Monuments historiques.",La Galicière,"Anciennes Fabriques Crozel - 285, chemin de La Galicière",,Chatte,38160
"Cet ancien moulin à farine datant de 1840, a été peint en rose en 1895, il appartenait à la famille Richard-Martin, meuniers de père en fils. ",Le Moulin Rose,"242, Route de Bilieu",,Chirens,38850
Découvrez l'église romane du Xie siècle ainsi que les fresques du XVIIe siècle de François Chambon. ,Prieuré de Chirens,"161, Rue Notre-Dame du Gayet",,Chirens,38850
"Situé au cœur des gorges de la Bourne, le site de Choranche offre un point de vue exceptionnel sur la vallée de la Bourne et les falaises de Presles. Une mise en scène du monde souterrain, avec des jeux de lumières et de couleurs, spectacle son et lumière à chaque visite qui enchantera petits et grands ! Parcours horizontal et très accessible.",La Grotte de Choranche,BP 7,,Choranche,38680
"Le Pont Lesdiguières construit de 1608 à 1611 sur la commande du connétable de Lesdiguières relie les deux rives du tumultueux torrent du Drac.Son arche unique de 46m d’ouverture à 16m au-dessus du Drac est particulièrement remarquable pour l’époque.
Ce pont est classé monument historique depuis le 27 mai 1898.Il est l’une des sept merveilles du Dauphiné.",Le Pont Lesdiguières ou Pont de Claix,Montée Georges Tord,,Claix,38640
"Espace d'exposition archéologique dédié à la mosaïque romaine du Dieu Océan mise à jour dans le village de Clonas/Varèze en 1996. Le pavement de plus de 67 m² ornait le triclinium, pièce de réception, il présente des motifs marins et pastoraux qui dévoilent les activités du propriétaire de l'antique villa romaine : Licinius.",La Villa de Licinius,"1, rue de Bourbourey",,Clonas-sur-Varèze,38550
"Cognin-les-Gorges est un village remarquable par ses bâtiments et possède un vieux séchoir du XVIIIe siècle classé au titre des Monuments historiques.Venez découvrir son église, la fontaine, les jardins du château et de Saint-Joseph, la pierre à dîme et le vieux lavoir, le pont, la maison forte de La Tour ainsi que la mairie-école.",Le village,,,Cognin-les-Gorges,38470
"Ensemble architectural fondé en 1129, formé d'une église et d'un ancien prieuré qui lui est accolé. Ensemble homogène de 14 vitraux réalisés par le même maître verrier grenoblois Bernard, en 1895-1896.",Eglise Notre Dame de Compassion de Corbelin,Place Joseph Falatieu,,Corbelin,38630
Adossé aux remparts ; le corps de logis du Couvent des Augustins abrite notamment deux très belles salles : la salle du chauffoir et la salle du chapitre.,Couvent des Augustins ,Place de la Nation,,Crémieu,38460
"Découvrez ce monument encore méconnu qu'est l'ancienne chapelle des Ermites de Saint-Augustin, actuelle église paroissiale de la ville. Construite entre le 14e et le 15e siècle, elle a connu d’importantes transformations. Elle a conservé un important ensemble peint de la fin du Moyen Âge unique en France.",Eglise Saint-Jean-Baptiste,Place de l'Eglise,,Crémieu,38460
Une ancienne apothicairerie de Visitandines. Boiseries du 18e siècle classées MH. Nombreux pots anciens de pharmacie. Anciens outils de chirurgie.,Apothicairerie des Visitandines,Maison de retraite Sainte-Jeanne-de-Chantal,Place des Visitandines,Crémieu,38460
"Ancien fleuron du nucléaire, le site de Creys-Malville est désormais en démantèlement. Ce réacteur nucléaire dit surgénérateur, unique exemplaire construit à cette taille dans le monde, est depuis 17 ans en cours de déconstruction, un chantier titanesque qui durera trente ans.",Site EDF Creys-Malville,Hameau de Malville - BP 63,,Creys-Mépieu,38510
"Ancienne maison forte construite par Amblard de Beaumont en 1340, le château resta dans la famille jusqu’au XVIIe siècle. Henri IV, Louis XIII et Richelieu y séjournèrent. L'ensemble des façades, des toitures et la grande galerie ainsi que le petit salon orné de boiseries sont protégés au titre des Monuments historiques. Parc dit «régulier» agrémenté d’un étang et de plusieurs arbres d’essences rares.",Château,"299, rue de Belledonne",,Crolles,38920
"La médiathèque offre, sur deux niveaux et près de 750m2 accessibles au public, 45000 documents, dont 7000 CD, 3000 DVD, 65 revus et d'importantes ressources numériques",Médiathèque,"92, avenue de la Résistance",,Crolles,38920
"Le moulin des Ayes dit aussi « Moulin Gabert », du nom de son dernier propriétaire appartenait à l’origine au domaine de l’abbaye des Ayes. Il a subi bien sûr de nombreuses modifications dans son architecture et ses machineries, mais le bâtiment actuel est attesté dès le milieu du XVIIIe siècl
C'est un moulin à eau. Jouxtant la serve, un jardin qui se veut une évocation des anciens jardins de l'abbaye. Valorisé et créé par l'association Les raisonneurs de pierre, ce jardin fait partie de la Route du végétal de Chartreuse créée par l’association Jardins du Monde Montagnes. En partenariat avec les Parcs naturels Régionaux des massifs des Bauges et de Chartreuse.",Moulin des Ayes,Rue du Meunier,,Crolles,38920
"Lieu chargé d’histoire et de mémoire. Vous y découvrirez entre autres son église dont la restauration des chapelles met en évidence les peintures de la fin du 18e siècle ainsi que les magnifiques icônes de Nicolas Greschny, l’ancien institut rural qui fut couvent puis hôpital militaire durant la première guerre mondiale, la cure (ancienne maison forte) avec son cadran solaire et le four à pain.",Quartier de l'Saint-Pierre-Saint-Paul,Place de la liberté,,Crolles,38920
"Chapelle du Xe siècle en forme de croix, protégée au titre des Monuments historiques. Cloche de 1464 et deux tilleuls plantés en 1731.",Chapelle Saint-Jean-Le-Fromental,"1075, route de St Jean Le Fromental",,Dionay,38160
"Le prieuré de Domène est un ancien prieuré bénédictin, classé monument historique depuis 1943. Il a été fondé en 1058 par l’abbaye de Cluny.",Église du prieuré,Rue du Prieuré,,Domène,38420
"Installé sur le site industriel, entre les terrains de l’ancienne usine et la cité qui abritait ses ouvriers, le musée revient sur l’invention de la soie artificielle, son procédé de fabrication, le travail dans l’usine, la vie des ouvriers dans la cité et l’histoire de l’usine qui, de 1927 à 1989, a accueilli des hommes et des femmes de plus de quarante nationalités différentes.",Musée de la Viscose,"27, rue du Tremblay",,Échirolles,38130
"Premier musée sport culture en France, il est né de la rencontre du sport, de l'art et de la littérature. Sa collection regroupe des peintures, dessins, sculptures, lithographies de la première moitié du XXe siècle. Il soutient la création contemporaine dans ses formes les plus diverses, fidèle à l'esprit de Géo Charles, proche de l'art moderne et de ses audaces.",Musée Géo Charles,"1, rue Géo-Charles",,Échirolles,38130
"La belle bâtisse qui ouvre la porte au Vercors juste avant -3km- le carrefour d’Engins. Sis, à la sortie d’un petit virage elle apparaît à votre gauche en en contrebas de la départementale.",La Maison d'Harika - Ancien relais de poste,Les Brets Engins,Route de Villard de Lans,Engins,38360
"Le musée invite petits et grands à un voyage dans le temps, à la découverte du site de La Balme à Collomb et d'une espèce disparue, l'ours des cavernes. Une aventure humaine et scientifique hors du commun",Musée de l'ours des cavernes,Épernay,,Entremont-le-Vieux,73670
"Souvenir des jeux olympiques de Grenoble en 1968, animations autour de témoignages des JO.",Maison départementale des sports,6 rue de l'Insdustrie,,Eybens,38320
"Ce lieu d’exposition est aussi un atelier de création de mobilier en carton (artisanat d’art), l’atelier Esprit Carton.",Galerie Origin,12 avenue du Vercors,,Fontaine,38600
,Vog - Espace municipal d'art contemporain,10 avenue Aristide Briand,,Fontaine,38600
,Bibliothèque Paul Eluard,31 avenue du Vercors,,Fontaine,38600
,MJC Nelson Mandela,"39, avenue du Vercors",,Fontaine,38600
"Situé au cœur du village de Fontanil-Cornillon, le jardin ethnobotanique vous ouvre les portes d’un espace joliment agrémenté de trente plantes que les anciens utilisaient pour se nourrir et se soigner. À travers les usages des plantes apprivoisées ou sauvages situées autrefois autour de nos maisons, ce jardin raconte l’histoire d’une rencontre entre l’Homme et le végétal.",Jardin Ethnobotanique,Rue du Moulin,,Fontanil-Cornillon,38120
"En 938, l'archevêque Sobon cite la paroisse de Four dans une charte. La première église est ruinée au milieu du Xe siècle et un nouvel édifice apparaît dans les textes à la fin du XIIe siècle (cf Abbé Meyer). La plus ancienne cloche date par ailleurs de 1495. De construction soignée cette église mérite le détour.",Église,Grande rue,,Four,38080
"Chapelle du XIIe siècle. De petite dimension, elle se développe selon un plan à nef unique, prolongé à l'est par un chœur en demi-cercle et possède une architecture rurale religieuse d'un grand intérêt. La situation géographique permet de visualiser la plaine de la Bièvre, jusqu'aux contreforts du Vercors.",Chapelle Notre-Dame-du-Mont,Route de la chapelle,,Gillonnay,38260
"Le pont de l’Isère a sa propre histoire, bien sûr – construction, inauguration, intempéries, reconstruction, innovations – mais c’est surtout celle d’un pays, d’un territoire, des femmes et des hommes qui, au cours des siècles, l’ont imaginé, emprunté, utilisé, regretté, encensé ou maudit, selon les périodes, les époques. Un pont, c’est toujours une histoire humaine, riche de liens, de rencontres et d’échanges. Et celui qui, depuis le Moyen Age, enjambe l’Isère pour relier les deux rives du Haut-Grésivaudan, de Goncelin au Touvet, n’échappe pas à la règle. Désormais traversé quotidiennement par plus de 5.000 véhicules, sa voix peine à se faire entendre dans le brouhaha des moteurs, victime de notre précipitation… et notre indifférence.",Le pont de l'Isère de Goncelin,,,Goncelin,38570
"Atelier de restauration ancré dans la plus pure tradition de l’ébénisterie française et guidé par le respect de la valeur et de l’authenticité du meuble. Cédric Sauvage, ébéniste formé chez Mr Legrand à Paris, spécialiste du mobilier du XVIIIe siècle, vous présentera son travail",Atelier d'ébénisterie sauvage,3 rue Raymond-Bank,,Grenoble,38000
"Bâtiment chargé d’histoire aux salles voûtées et aux pierres apparentes, la casemate a été édifiée en 1830 dans le cadre de la fortification du fort de la Bastille. Située quartier Saint-Laurent, sur les quais de l’Isère, elle abrite aujourd’hui le premier Centre de Culture Scientifique, Technique et Industrielle (CCSTI) créé en France en 1979.",La Casemate - CCSTI Grenoble,"2, place Saint-Laurent",,Grenoble,38000
C’est l’un des plus anciens ateliers de vitraux encore en activité (fondé en 1860). Il a été labellisé «Patrimoine en Isère» en 2011 et «Entreprise du Patrimoine vivant».,Atelier de vitraux Berthier-Bessac,"10, rue Emile Gueymard",,Grenoble,38000
"Ce musée retrace 145 ans d’histoire industrielle des Etablissements A. Raymond, basée sur l’invention et le savoir-faire mécanicien, appliqués aux systèmes de fixation (invention du bouton –pression). Le visiteur découvre les témoignages de la vie de l’entreprise, de ses produits, de ses innovations (des centaines de brevets) et parcourt le chemin qui mène d’un atelier artisanal à une entreprise multinationale.","Arhome, musée de l'innovation industrielle",113 cours Berriat,,Grenoble,38000
"Cet atelier propose des gants fabriqués dans la plus pure tradition artisanale grenobloise et exclusivement en peau de chevreau : peau fine, souple, douce et très résistante.",Atelier Les Gants Marianne,32 boulevard Gambetta,,Grenoble,38000
